polarity,tweet
0,Sun burns are noooo fun  I'm bored...sittin at home watching Bride Wars with my sister =D Have a good weekend everyone =D
0,@Jenny_Sullivan I do more that anything 
0,@kittenspawn I wish i could  that day kinda sucked for me
0,@squishable looking for a mascot for www.connectacle.com needs to be an octopus but the one youhave isnt cutting it  if u sign up ull see.
0,Missin my Poop.  I'm all hurty and D.
4,@UrbanInformer will do! 
4,"some nice vfx-breakdowns from the norwegian movie Max Manus (text in norwegian, but some nice vids  ) : http://tinyurl.com/d4g3jz"
0,"@Covergirl1985 S'ok, I was confused for a moment. I have to agree that ur dad sure could've timed the announcement @ a diff. time though. "
4,so had an amazing choir tour in DC and now the beach trip with my girls!! 
0,"ridiculously tired, on the way home  don't text me i need sleeeeeep!"
0,"Each time I close my eyes, I often think of the moment Mr.Pyon fighting. Still sad "
0,"cant sleep. Im screwed, again. "
0,@carmensophia G chat it IS i NEED to talk to someone. BAD. 
4,@meaghanellenxo Sounds good 
4,"doing maths while watching state of origin, GO marooonss "
0,"@LMA_xo My daddy lives in Manchester, I love it there :-D HULL?! :O bitch! I have a mate there and I wanna go "
0,"Feeling a bit low today, sent off tons of job apps but not heard anything  I need to get out in the sunshine I think!"
0,once again...show is rescheduled  
0,Tired as hell..barely made it to my gate..bye bye LA.. 
4,@dutchjackles You need to follow different people on here if it's all negative shit. I had very happy updates! 
4,"@Ronald_Voets You got it!  The whole day was a party, so the evening was the start of the afterparty ;-)"
4,"Oh my jeebus, I slept allll day. How wonderful  I think I'm hungry."
4,"@ vdsudeep  is looking for more blog posts on  http://bit.ly/fUDff  Mahalo, Sudeep should be up Friday  Aloha~"
4,"@kimierk no my dear, then you just do what I am doing... read it again! "
4,Save the Mangos! — At mAngos chilling with old friends  http://tinyurl.com/p863xz
4,"homwe &amp; watching the yankee game, comee visit me "
4,"@yildissX ummm its gettting bettterrr, than before, but its still prettty bad ! lol "
0,"huh, turns out I'm like marmite...when did i stop being loved by all "
0,Another AHS student passes away. He was such a sweetie to me... when he wasn't making passes at me haha. Rest in peace Gabe Darrah 
0,No tweets to my phone all day. Weirdness. I just thought everyone was being very quiet. 
4,"arrrggghhhh, going to sydney for the first time on the holidays and then off to canberra and somewhere else in snow "
4,@Itxi_Itx LOL so so true 
4,i'm in a reallllllly good mood 
4,@culturesclothes perfecto 
0,"@divafern Aw, man! I hate it when that happens. "
0,@mzkalila thanks!!!really appreciate that. My skin is acting up... 
4,Just ordered UFC Undisputed! Bring on the octagon pain 
4,Thanks to @danlopez2012 @AIC_Entertainment @paulastudio for the props  ♫ http://blip.fm/~7qu1x
4,"@dunkdaft Quite medley  5 hindi, 4 telugu and one tamil. Thanks! I'll upload video on YT soon "
4,Can't feel my bottom and is now going to bed. 
0,I think the time I really start lusting after a #Mac is when I'm forced to use #Windows. Unfortunalty that's every day at the momenrt 
4,Going to watch drag me to hell at the bridgeat 945....oooo scary movie!!! 
4,"my leg is tired, I'm so tired but it paid off when I saw his smile  Wide as ever! Sweeter than sugar!! Surprise  N that is for you! ILY!"
0,@YouDoDan again!  that's suck.   who are they so we can stay away from them?
4,Off to get ready for school now. 
0,Just wept for the last 10 minutes. Marley And Me is so sad. 
4,"Still trying to upload pics of my new hair  gave myself first aide, cut my hand with a knife chopping onions......ugh"
4,in love with wolverine 
0,Today would of actually been my 10 month with my ex 
0,Waiting for the kettle to boil so not online for very long 
0, I'm stuck in San Clemente and I have work in an hour and 15 minutes. Efffffff
0,"@YuliZ you're absolutely right - I was thinking today was the 17th  oh well, next year - you must tell me all about it next week at 2.0"
0,whys it sooooo cold 
0,Just now leaving work  - http://bkite.com/086Vt
0,I just saw a report that said most high school graduates dont know where Mt. Rushmore is. TRULY SAD!!! 
4,"Techie Buzz, founded by @keithdsouza completes 3 years of #awesomeness. Happy Birthday, TB  http://is.gd/PL9e"
0,Ads on FB Are just getting mean....  http://yfrog.com/0fnvnnp
4,"says Toy Story 3, 2010.  http://plurk.com/p/x7vid"
0,"&quot;But there are moments when you can't deny what's true, Just an ordinary day like when I met you&quot; 08-26-08 ...Damn I miss you BOYS!! "
4,Extremely tired and can't WAIT to see erick 
0,"@petewentz are you for real? I mean ffs, does anyone have a heart? "
4,@andisayd mann those food seem very good 
4,@tiffany_paige http://twitpic.com/3iu8l - I WISH I WAS TOO! 
0,thank fuck i waited to start hardcore crying until i was alone in the idr room. 
0,"@Vixster25 I've till tomorrow morning 2 decide. Right now, I AM attending the Summit but, my Husband's been called in2 the office @ work "
0,@lukeawol good luck nursing them to health! I always feel useless when fish get sick. 
4,"@tiflosourtis Konstantino, firefox crash last 6 months both in mac and pc..and is very slooooooooooooow! "
0,up at 8 am 
4,@shanastamm myspace.com/pahonorsocietyst 
4,Yay I figured out how to use mobile blogging how convinient  www.lepinklabel.blogspot.com
0,Not looking forward to working 1 to 10 the next 2 days 
4,Hello. I am at my boyfriends house. It is all very exciting 
4,@JustA_Girl go join them 
0,At work wrist hurting for no reason 
0,"Ohh, i can't be Bree, &quot;14-17, Beautiful&quot; Thats out the window, &amp; i'm to tall "
4,love it when I have a day off 
4,@omgitsJustinTR Oh damn. I missed it. I'm sorry. Glad it was good though. 
4,Watching Bad Boys &amp; Bad Boys II. Evening with Michael Bay    http://www.imdb.com/name/nm0000881/
0,It's morning already?  
4,@YatinVadhia no more work for me today then 
0,BORED!!! want to go out but noones up for doing anything 
4,Does anyone know how the dinosaurs really died? I do.....GLOBAL WARMING!!!! 
0,fell asleep!!!!!!!!!!  must start working now
4,@bruxedo Thank you VERY much for the mr tweet recommendation! I appreciate it very much! 
4,it's raining in Delhi!!! Yippie 
4,@tolerancenow769 indeed i do  do you from me?
4,Smile with me and the world will smile with u 
0,"@jonthanjay  Thank you, J.  I can't sleep either...my Canucks lost! "
4,"Updated several of my browsers.. Sunrise, SeaMonkey, etc. "
0,"i huuurrrt!!  I got a crazy insane workout just doing the shoot. Freakin' raging river beat us up haha. I so NEED a massage, eh eh eh!?"
0,Can't quite get MMS to stick on my iPhone... 
0,"The Arangurens are over for the final frontier!! lol. tita marjit, harry, and lincy are leaving tomorrow. this cannot be! "
0,@promizechild Awww dont be mad at me boo. I didnt have any gas to go. Im sorry 
4,  Lego Star Wars awesomeness.  http://www.flickr.com/photos/balakov/sets/72157594352657197/  Did you guys miss me btw?  
0,"@scoop42 no media access, just a common man  did it perchance involve a tasty glass of comeuppance?"
4,another sunny monday off! Hi sun! 
4,@Hatz94 heyyy just wanted to wish you a good night.  I was on stickam for a little but was having problems with some people messaging me..
4,"@agnestejada - putris... reception, i'd like a change of room please... right here by the desk.. "
0,@beebumble79 i cant feel my nose 
0,@craftydame it was an epic day.  Such a stupid mistake by my DH cost us a LOT of money   So embarrassing as well.
4,@bexiclepop have done  I want hot weather all the time! But i am still pasty haha bet you are tanned &gt;.&lt; cant help getting tanned =P
0,in an hour and 20 min.s i have been 30 miles 
0,"@mrchrisaddison #nicerfilmtitles The Towering Infernyes. (sorry) Star Peace Treaties: Pyjama-Party of the Clones, Gums, The Exercised "
4,taking a shower 
0,love law and orderrrr wants the sound effect as her ringtone but cant find it 
4,@RobPattzNews  THANK YOU for the link! 
0,"@amieewhitney i love the whole entrance bit!, oh sum actor..who i only knew by face not name! old timer, my dad will be sad! "
4,"@sajego Ah, sounds like an evening of serenity.  "
0,so sad tomorrows the last day. 
4,@CalNewman my bad I see another Gemini friend had a birthday the other day happy belated birthday LOL 
0,Trying to write an article on a topic you dont understand is trickyy 
0,Awake already...  Not good.   
0,"@joeymcintyre HAVE FUN, WANT TO HEAR IT TOO  ENJOY YOUR SHOW TONIGHT LOVE FROM BRUSSELS"
0,@creativetears Somone is using that name thats y it wont change 
4,"@nicolesafley TY for the invite. you left out the 'r' in central, but I found it ok.  look frward 2 'meeting' you there. Have a great day!"
4,@KiranDenniz I don't see any mention of flogging? 
4,watching my boy jj 
4,Sitting in Starbucks cafe in Bristol.. Cesar salads with chicken is served with fish here.. kind of surprized 
4,"In my dreams, you're mine forever.... "
4,@silvershoe21 @bakerella Yep.  You got to talk to 2-octaves-lower-Nikki 
4,is counting down to that lovely time.  
0,"Whoa, didn't realize it was going to make me tweet those bites. Sorry "
0,OMG..... there is no sugar!!!!!!! im gonna die with no cup of tea 
4,what a good weekend so far   thunderstorms tonight! :-D
4,First round of caddying this season 
0,It's so gay...I have to revise...but I want to be outside...not revising... 
4,"Mmm having tweeted for a while.  All s good just busy, busy. Home from work to study "
4,eating nandos yummmmy 
0,@youngQ I still can't pull up twitter  blockheads seem to break or crash everything we touch HAHA!
0,Studying for 4 hours until 330 in the morning and im up already 
0,"installing adobe reader - a website checks to see if it's installed, even though I can use FoxIt to read the pdf files themselves, bleh "
0,In a train station with @hexachordal we have left hatalan 
0,@officialpeta  You guys do such great work... shame you made fools out of yourselves with the fly thing... 
0,@boochacha Iya...memang panas... 
0,"&gt; @austinheap: Pls ppl, no more DDoS rt  #Iran #iranelection"
0,@ tysonritteraar: Poor Tyson  Get well soon..And btw... Only you can run and sing very well simultaneous. You're inimitable.
0,"@clicktokill oh ya the heat, it was suffocating. I was huffing &amp; puffing by the end of the run...not good at all "
4,ahaha  wassuh?! twitiess?!
4,STAVROS FLATLEY to WIN! (Or diversity) over &amp; out 
4,"@Geladida LOL! No, only 8-| people can follow instructions. I'm not 8-|, but I know you are. "
4,http://twitpic.com/6de1m - Hmmm... Do I want this person following me? 
0,@jennaphillips MP is leaving 
4,"@BearTwinsMom Good morning, hun! I can't even get her to brush her ow teeth - clothes probably out  Was good 4 a laugh though!!"
0,Too lazy to get up from bed today  ugh.
0,ayaw magload seesmic ko  BOOOO.
4,I'm off to relax and enjoy the gardens I got done yesterday. 
4,Paranoid on the box now 
0,"My bed is so war, so comfortable, &amp; I'm SO tired. I really want to curl back up &amp; sleep some more. But I caaaaaaaaaan't. Too much to do "
0,I have no blood left 
4,@WendyRosenfield no problem. thanks for the tweets. 
4,"@Miscellt It says &quot;1 vote per valid email address per day&quot; - I could vote about 15 times according to that, but once a day is good. "
4,Bed time 
4,@barrymonteiro Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip 
4,@ElizabethBanks On your blog u mentioned that a famous person said that they were getting divorced. Im curious Who was it? care to share? 
0,"@kirstiealley glad to here you reached your goal. Money is really tight, wondering what activities to cut for summer with kids "
0,g2g - 1am in the morning - BE WARNED - mikeyy is back - be careful - one of the ppl I am following is infected 
0,PLEASE HELP!!!!!!!!!!!!!! this made me cry today!      http://tiny.cc/RjGDr
0,@colettebennett What that's crazy!? I paid the full 42 for mine.  But it is AWESOME.
0,Does anyone want to buy me Taylor Swift tickets? I just want to take my sister. And I didn't win them on the radio. 
4,@BHBADDEST lol...all i seen was my baby peanut 
4,@wellyal we should do the good old @rove1974 thing and flash our lights to see if we can see each others house 
4,@Charonqc and put a spanner in the works for the military -level keep-fit regime! Have a great Sunday 
0,http://twitpic.com/7mlzk - Please help find my friend's puppy!  (via @AmandaWilcher)
4,"@nassyusof you too? haha,so,u managed to finish all your workloads durin weekend? i ended up partying and today kelam kabut in the office "
0,@nbcsnl why don't any of NBC's videos work in Canada 
4,@IMLILGETOVERIT no reason 2 lie...turned a new leaf almost a yr now 
4,5 things this Twitterer could do without  http://MikeFrizzi.com/blog/?p=192 SRC @MikeFrizzi / I like this guy. 
0,track meet...mile...fail 
0,working on sunday 
4,Just finished filming and now off to another audition. 
0,@Darren_Moore_ I had a network most of the time last night it just wouldn't work when I was ringing and texting sometimes didnt 
0,i'm here! but i'm late 
4,@ervik odd try hitting iphone.citrixcloud.net let me know if that addy works. 
0,a new day starts and i'm already running late 
4,Just rode my bike..Fresh air is good.  *I &lt;3 Cupcake*
0,"@theDollHouse @incredibowl seriously? Like, are flip flops and shorts appropriate? -- I'm pretty sure it's shirt-and-tie   freakin lawyers"
4,"@CokoClemons - after a bootcamp, I am sure you deserve to chill those muscles    - www.ThePulseofEntertainment.com"
4,"@JLSOfficial mmm toffee flavourr ftww ;)  haha, il join youuuuuuuuuu "
4,@megatanner Oh i see the dilemma. It's still early. Drink your absinthe then try.  
4,@ninnoart aw thanks 
0,Stuck at work ALL day 
0,I miss my sister 
0,We won 2-1 (2 goals from yours truly) but I pulled my calf muscle badly - ouch that's an old man's injury 
4,watching http://bit.ly/L6OHo  on youtube! 
0,I miss my earring stuff  I hate dirty nasty thieves! Don't they know that I'm poor?! FTW!
0,@hislilnitemare  I'm so exhaustedd I'm goin to bed &lt;3
0,"@hilly_wa I meant that I am closer to you then Jake, but we have a level of mental intimacy that cannot be compared. That also sounds bad "
0,"My computer says I need a new battery, which is like, $200.  "
4,@midwifeamy thank you! having 1 of my july clients go early might have actually secured me some sleep &amp; balance!!  
0,Helping people as I always do  get my results tomorrow afteroon  too scary for me
0,"#return2india Digital Transition, No locals  http://tinyurl.com/mcwbmf"
0,just got back from driving all the way to the mall to realize that the mall is closed on tuesdays 
4,our love can only be measured in our joys and sighs and tears. can anyone agree to this? 
4,"Drinking my 3rd malibu bay breeze w\ @iizsam, @JanayMiciah, and @Jordamus_Prime "
4,"@katintherat Send that along, lady.  "
0,still learning math. 
0,Doing my best to drive @xabatcha mad! Sorry buddy 
0,I can't believe how ur close friends can just be the biggest jerks to you when what ever happens isn't even your fault 
0,"Kept hearing how low the lake had gotten, didn't believe how low till just now when I saw it.  come on rain!!!! http://bit.ly/138Q21"
4,i need rancho &lt;3 PAAYCE muthers. 
4,"@Bondwalker I know, I'm SO excited about it!! AND Red Dwarf this weekend too!! "
0,"btw - we didn't drown and the leak is under control! No tornado and the hail didn't damage my truck &lt;3 Tornado season, not my favorite "
4,Bleeding Love - Leona Lewis. Old but still good! 
0,my eye is swollen shut so I had to postpone a bride and groom consultation. It hasn't been a very good morning! 
4,ew. i hope when im almost the age of 28 im not a LOSER. keep on talkin' bitch ass 
0,"@koogar I've been inspired by the sound of silence all morning, but the chap doing my garden has just started using his heavy tools "
4,watching &quot;Itty bitty titty commitee&quot; YES it is a gay movie about lesbianas 
4,Watching &quot;Man-eater&quot; on Lifetime... LOVING the fantastic weather... relaxing before another day at work tomorrow. 
4,@janejardine i shall.  loveeeee. x x x
4,Zefron with his hands in the air 
0,"@boobookittifukk I rarely get into new bands, though. Very few interest me enough from the beginning. MySpace players hate my computer "
0,@SarahAnneFelty  thanks four. i'll update you tomorrow. i'm exhausted.
4,I think I should be on @mtv's The City. I'm Just saying... right @oliviapalermo and @whitneyeve ? 
4,"@fryfan20 don't be so down, whatever you have to do it will be done today and then you can smile "
4,@AudraPach I was looking through my senior year pics and I found the ones from the pistons game.Soo great 
4,"@pketron Thanks, I'll look into Santa Fe Photographic Workshops.  "
0,@spartan_love at peace. Im even more depressed now 
0,The MTV awards are the only time I think about watching MTV 
4,i need to do it... 
0,my macbook has been running slow lately  wonder if it has a virus...? i thought macs didn't get viruses! maybe it has the swine flu???
0,"@bestkeptsecret1 Thank u! I think that pic was taken the week DJ Hut closed  We have 2 get up soon, Im goin 2 GeorgiaStateU in the Fall "
4,on youtube trying to find some good videos to see 
4,@tweetles Good morning I have not seen you around alot lately  How are you
0,@nikkinews we went 2 yogurt land....thought u were going with... Leo &amp; maryanne &amp; raymond weren't there either 
4,@lilazngangsta yea kirby is cool. I always pick lucas though.  chris 
4,"@punkful dati i get to talk to handlers pa when i was doing office/events. pero mas importante, prioritize your studies. the best yun! "
4,shopping shopping shopping!  I'm in desperate need of some shorts n stuff for Spain! B-)
0,"@RowaynW Well Q let me know you weren't coming in, hope you feel better. "
4,The chicken parmigiana is being raved about... and I've squirreled away some for lunch on Monday.  
0,@moony394 yeah  is it bcoz kal penn is a visiting lecturer somewhere n cant be on the show anymore? im gonna miss him 
0,Rocket Riot &amp; Magic works. But the Download of Sam &amp; Max still doesn't work 
0,@BrianNeudorff  awe!!!  I hope they don't hurt him....
0,Vilmarie/Marilyn Help my computer is acting wierd.It wont let me accept. 
4,@arttherapy2heal @apndrgn @palmie @burstingenergy @ricksgrl Heya.  soooo tired lol
0,@audreykeyes yikes!  the fiance called &amp;said sirens were going off... but he wasn't leaving the 3rd floor apt bc he was watchin the cavs!
4,watching NCIS &amp; not thinking about much at all  What a Friday is supposed to be about!
4,Its Friday!!!  school.then campin out with my bestie!!
0,Twitter is making me feel like I have no friends  ... I'm going to go creep on Facebook instead.
0,@andreatunes That makes two of us 
0,very tired 
0,@mamapigeon We haven't been able to twitter because our huma-eh-eh-eh-n has been too busy 
0,i dont wanna do homework 
4,@AdamHoban lol. Military planes seen it!! 
4,browsing David Archuleta's music vids 
4,@sergeantkero you're welcome  what are you doin ?
4,"@vampirefreak101 Yeah, I really hope so too... off to work for me... tweet you later, hun... BIG hugs!  x x x"
4,Ughh. Confusing much? I kinda feel bad still. I won't let this rain on my parade! 
4,@lindsaylaurie lol thanks lindsay lol so how's it going? 
0,Mimis cafe lunch with sister and momma. Now shopping!! Then work 
4,@systemragebodom hello  i'm good wbu? btw ur new name is nice how was weekend?
0,EPW --&gt; a very long way to reach level 100+ 
4,@morningshowz103 Dave's funny! I love your morning show 
4,Yay now all my shit is organized. Deleted albums and saved those old pics on my computer! 
4,@ToddBrink Dude. You rock!    Thanks 4 the mention  xo
4,"up dressed, dh even threw me in to the shower this morning  now going to make my coffee that smells like a cinnamon roll."
4,@bfgmartin Thank you so much for the help!! 
0,"I love The Nanny, but I'm so tired by midnight that when I lie down to watch it I fall asleep. "
4,Woooow... Sitting next to the ambassador of Pakistan 
4,@KuriousTrina awww thanks for calling me sexxxy......and I thought you forgot about me... 
0,"My laptop keeps switching off due to overheating. I think im gonna have to send it back, but that means no net or podcasts! "
0,@madisonkerr I love that song. 
0,Well it's on our block but no one on our street was doing it and i only got up at 8:15 in the morning. very frustrating 
0,@chrysalisceo terrible transition from ska... but pretty woman is a good chune 
0,XBox Live still down 
0,@ryannarciso i would help you but im already following you 
4,at the beach 
0,@jamieharrington Aww. The second one as was my actual music. 
0,@ansharp more cabochons.  but she doesn't have any   no idea when that will be!  sorry about that.  but I didn't forget!  ;)
0,i cannt sign in my yahoo profile.poor me 
4,@xAlysonMichalka U r one classy girl Alyson and so friendly too.. Love ur stuff as always. Keep twittering 
0,"@Scorpion_Blood i dont give it also, but i was curious about that, and i had to give to see whats the rush was all about.. can u help me? "
4,@Marabellers great show! I'm waaaay 2 emo 4 such a program @ this time tho  heehee watch on my friend ;)
4,"Hi guys, sorry for the non-twitter the last few days, was sick with the flew. Promise to start again by Monday. Cheers "
4,@Shamini_r I find mystery so much more interesting than obvious...waaay more to explore  Go bodypump and Cardio...
0,"The luck of the Irish was not with me today, despite the origin of my name and the fact that I wore my Irish green t-shirt. "
0,Pretty sure I blew my engine 2day on I-95. Shoulda listend 2 wifey when she told me 2 change my timing belt Some of us learn the hard way 
4,"(66) it isn't just Nadal, Verdasco is out also! A day to forget for the Spanish &quot;armada&quot;. Oh well, Wilbledom is coming soon. "
0,@brampitoyo Coworking would be awesome. But I work a side job on the weekends 
4,@tweeks4 you can Tita I know you can  I need to lose weight so I look great in my dress!
0,I got my brothers phone  No more twitterberry 
4,@jordankathleen http://twitpic.com/7iip9 - Congratulations!!!! I voted for you!!! 
0,@debsylou I dont have any cake  I was only thinking about eating some.
4,dude!! Kings is the best show ever! 
0,Wish I could sleep. Got speed tix 2day  Hope 2 hear about &quot;new opportunity&quot; b4 the w/e. Happy Inat'l sushi day. Brett celebrated it w/me.
0,@Zone4Beans You act like you not my friend anymore.  I don't like it.
4,just ate dinner and am STUFFEDDDDD. mostly satisfied (nerd alert!) bout the dessert. yum-o. 
4,"@MichelleZen Oh, girl of my heart. I was in a meeting earlier today actually discussing Settlerss of Catan. "
4,@fartingpen similar? I don't think so.  
0,Damn. Stephane doesn't even feel sorry for me. Off to work then 
0,"@DebbieFletcher you can show this picture to the tom? http://twitpic.com/7azqs please, i want much that he read what i wrote  XX"
0, tire replacement in very near future - nail is lodged in sidewall - today is very expensive car day - also getting inspected &amp; oil change
4,@jleuze Am mad about her work. Thanks for tip (found on your site). She's astonishing. I think that's why you won ticket; to connect us. 
4,@explosivityy http://hunsonisgroovy.com/ look at the right sidebar. 
4,"@jordanknight - I'm keeping the faith, J! FULL Service Tour Asia! Hopefully I'll see you here in Manila -  FOR ME that's what TINK means! "
0,yeah. worked out for 30 minutes. close to dead. 
0,laying on my bed feeling super sick  and my head is killing me :s goodnight!! lov u all
0,still superr sick. don't know if I'm going to school tomm or not. 
0,The vehicular drama continues: now the truck D borrowed is broken. So he has my car and I'm stuck at home on my last day of &quot;Summer&quot;. 
0,@mssensible ha! As if! Was up early with youngest... as always!! 
4,@SukieBunny *looks at  @tdm911 and makes tsk noises*  my bloke just gave me a cold - they're disease carriers 
4,who is rocking her final projects and finding at least 4-5 hours sleep? This grrrrl!!! In due time my art will be betta and come faster 
4,http://twitpic.com/6c6nc - This doggie looks like my Bailey. 
4,watching Conan. Thank god you're back. 
4,@perrymisley Don't forget that iSale offers free iamge hosting through Picasa Web albums as well! 
0,@Dannymcfly  bruce is today in the netherlands and you missed him 
0,"any one else having problems loading gmail? basic html version works fine, but the super fancy ajaxy gmail wont load "
0,ugh so miserablee 
0,Gutted That ii Can't Go See The Script  Exams Getting In The Way :\
4,"@trisected just gotta keep going, good luck dude!! &amp; try not to burn out talk t you tmr "
4,I need to go now! goodnight. 
0,@kboudit oh she will. She said she has to be prepared for her concerts. Well good luck to you! I hope you don't crack like the rest of us 
4,@JakeGarvey  I liked that movie. The kid who plays Charlie is Chekov in the new Star Trek too 
4,@everyone if im following u. . .its mandatory u follow me 
0,Gutted phone still does not work  gonna have to be a trip to the t mobile shop me thinks!
0,"@Kenwood, for my sins  http://tinyurl.com/6n6apk"
4,#myweakness Jesse McCartney's voice! 
0, sad about stupid stuff
0,Maggie just drove most of the way home before she remembered she doesn't live there anymore.  .
0,"@BlueMegan and by not do so well, I mean probably fail. First exam I ever nearly fell asleep in! So embarressing! So....not helpful "
0,@thechannelc I've been waiting the whole day 
4,"scotch rocks and talks with exbf from sf tnite while i was waiting to get back into my apt, glad we're still homies, j "
4,"song of the day - &quot;turn your lights down low&quot; by bob marley &amp; lauryn hill  &quot;turn your lights down low&quot;.never never try to resist, oh no..&quot;"
0,study time...  can't stop listening to marie digby's song feel.. It's addictive
0,@coasterdude2002 beats toothpaste... TRUST ME... and I won't explain how you get toothpaste in the eye... twice 
4,"@kimmylockwood LOL! Thanks, I appreciate that. "
4,I want a shout-out from J-Bigga 
4,@favored619 I'll call you 
0,@thefreeboxer �a veut pas 
0,@yasexy oh lol i wud make some but my damn camera broke 
4,@stambo_nz Cheers for that 
4,@SJayyS Here is a goodnight tink sweet dreams 
0,So much for my Orlando winning the playoffs  kobe is shit hot tho and all credit is due!
0,"@imeantheend IKR, it's BOILING in my room  I'd expect the temperature to drop significantly at night...?"
0,eurghh off to the dentist soon 
4,@ralphp matt was getting frustrated lastnight cause he was trying to turn off twitter on my phone with no luck 
4,checking my emails  kinda lame i know
0,Alarm clock woke me up on Sunday. I don't work on Sunday. I got up for nothing. 
0,"Wow, I can't afford Sims 3 "
4,KLM is now following me on twitter  Should I mention that it have been 4 nice flights this weekend and that they have some cute stewardes?
4,hello everybody 
0,I'm getting so old.....I want to be playing flash light tag and kick the can on Larch Lane. 
4,"@TruckindogKarma Golly it looks a lo-o-ng way down from the cabin of the truck to where you are lying, Karma "
0,waking up at the crack of dawn! = 8:00am  but ill be home in time to hang with my girls I hope!! I miss my own bed and my puppy &lt;3
0,so this month i'm working over 60 hours per week....  why???  
0,lack of sleeps give u pimples  #fb
4,Do you know the best thing about a pregnant wife? I'm not the only one who burps anymore. 
4,@tashjudd Welcome back  Apprentice is very important to catch up on! Bit of a comedy this year.
4,Grant tomorrow YAY  i hve been waiting all week for this day
0,watch'd desprite housewives. happy that theyre fine ! so early to sleep.. this weeks gon be CRAZY 
0,Headed for bed. Had great day in St. Auggy. Tomorrow is last day I have with the kids 
4,Just wokke up to hot chocolate 
0,"@PushPlayDEREK  dont remind me, i spent my whole morning in tears!"
0,My effing neighbor wont quit with the obnoxciously loud ass music 
0,"By the way, Ed McMahon died.  "
0,@JessicaViberg I didn't know you could feel this way about a person you don't know.. and my heart is broken  .. it hurts..
4,@tanketom Will do! 
4,i love michaeljamesway.  Bandit Lee is the most loved Baby.
0,@eatcrayola Quebec is 5008km from london 
0,"@squarespace, when are you going to have winners from Asia?!  #squarespace"
4,Remember people its Late Night Confessions with Summer Snow. Ask me questions? Converse  I am liking this music by the way.
4,@simsslovenija Awww that's too bad  Right now I have comments off because of spammers - will go open again in the Summer 
4,has just watched twilight for the second time today  gotta love that moviee
0,Dont deal with u nomore so how about u just skip ur ass back to lorry's house @mzneecij ...(ur no fun) 
0,@talosman beer is great! But I just can drink a little bit... 
0,"@ColdHearted19 ooo will watch out for itt, final auditions next week "
4,"@cuteguardgrl06 I MISS YOU!!!!!!!!!!!!!  Dude, we could get engaged to each other!!!  "
0,@applespotlight .... Or drop it in The toilet like My wife did. 
4,Still crushin on Wil Nieves.....yeah...married.  Do we see a pattern here?  
0,reason number #44 why men should never do laundry: dad ruined my favorite black lace dress 
4,@GraceMaryLove hehe. I am.  i'm Ireka. nice to meet you mary grace.
4,@triciagoyer all your stories sparkle 
4,I had forgotten just how much I love Fight Club... 
0,Omgosh ive been away so long wtf did i come home!??  i hate it here
